Date;Word(-s) [Exercise book - Page]
01.12.2016;keen, interminable, hideously [3-1]
03.12.2016;focus, piercing [3-2]
05.12.2016;recital, indeed [3-5]
06.12.2016;youthful, recline, assuredly [3-7]
07.12.2016;vigorous, backrest [3-9]
08.12.2016;condemn, boycott [3-10]
09.12.2016;sweat [3-13]
11.12.2016;censure, blame [3-16]
12.12.2016;fur, convict [3-18]
13.12.2016;rebuke [3-21]
14.12.2016;sloppy [3-23]
15.12.2016;forethought [3-24]
16.12.2016;thoroughness [3-26]
17.12.2016;willful [3-26]
18.12.2016;disobedience [3-28]
19.12.2016;voluntary [3-29]
20.12.2016;failure [3-31]
22.12.2016;abject [3-33]
23.12.2016;flattery [3-34]
24.12.2016;coward [3-35]
25.12.2016;cowardice [4-1]
26.12.2016;starve [4-2]
27.12.2016;doze [4-4]
28.12.2016;deprive [4-5]
29.12.2016;deprivation [4-6]
30.12.2016;shelter [4-8]
03.01.2017;splash [4-10]
06.01.2017;self-sufficiency [4-12]
07.01.2017;decay [4-13]
09.01.2017;doubt [4-16]
11.01.2017;diminish [4-18]
13.01.2017;linger [4-20]
17.01.2017;lingering [4-22]
19.01.2017;multiply [4-23]
21.01.2017;latter [4-25]
24.01.2017;faithful [4-26]
28.01.2017;impact [4-29]
30.01.2017;edible [4-31]
01.02.2017;versatile [4-32]
03.02.2017;sufficient [4-34]
05.02.2017;composed [4-35]
07.02.2017;composedly [5-1]
09.02.2017;adolescent [5-2]
11.02.2017;width [5-3]
14.02.2017;draught [5-5]
16.02.2017;draft [5-7]
18.02.2017;ambush [5-10]
20.02.2017;seek [5-12]
22.02.2017;sluggish [5-14]
24.02.2017;thrive [5-16]
26.02.2017;burden [5-18]
28.02.2017;provide [5-21]
02.03.2017;onward [5-23]
04.03.2017;onerous [5-25]
06.03.2017;sustenance [5-26]
08.03.2017;primeval [5-28]
10.03.2017;reflect [5-29]
12.03.2017;accusation [5-31]
14.03.2017;hiccup [5-33]
16.03.2017;deny [5-35]
18.03.2017;seize [6-1]
20.03.2017;remedy [6-3]
22.03.2017;rectify [6-5]
24.03.2017;abandon [6-6]
26.03.2017;bent [6-8]
28.03.2017;essay [6-10]
30.03.2017;impurity [6-12]
01.04.2017;inequity [6-13]
03.04.2017;obligatory [6-14]
05.04.2017;challenge [6-15]
07.04.2017;conform [6-18]
09.04.2017;formidable [6-20]
11.04.2017;modest [6-22]
13.04.2017;scheme [6-25]
15.04.2017;supplementary [6-27]
17.04.2017;inset [6-28]
19.04.2017;substantially [6-29]
21.04.2017;clumsy [6-30]
23.04.2017;consumption [6-33]
25.04.2017;incessant [6-34]
27.04.2017;go up [7-1]
29.04.2017;relentless [7-3]
01.05.2017;go down [7-4]
03.05.2017;erect [7-6]
05.05.2017;straighten [7-8]
07.05.2017;obese [7-9]
09.05.2017;get up [7-11]
11.05.2017;arouse [7-13]
13.05.2017;dismantle [7-15]
15.05.2017;access [7-17]
17.05.2017;fulfill [7-20]
19.05.2017;remote [7-22]
21.05.2017;remotely [7-25]
23.05.2017;dreary (=drear) [7-26]
25.05.2017;whereas [7-28]
27.05.2017;operate [7-29]
29.05.2017;purge [7-32]
31.05.2017;agenda, agendum [7-35]
02.06.2017;expose [8-1]
04.06.2017;assume [8-4]
06.06.2017;presume [8-6]
08.06.2017;assume / presume [8-8]
10.06.2017;augment [8-10]
12.06.2017;zealous [8-11]
14.06.2017;genuinely [8-13]
16.06.2017;tension [8-14]
18.06.2017;acute [8-17]
20.06.2017;alleviate [8-19]
22.06.2017;hostility [8-20]
24.06.2017;palpable [8-23]
26.06.2017;rigidity [8-24]
28.06.2017;hence [8-26]
08.07.2017;ellipsis [8-27]
10.07.2017;remainder [8-28]
12.07.2017;conceive [8-30]
14.07.2017;deal [8-32]
16.07.2017;isolate [9-1]
